109.241.131.171 - - [04/Feb/2014:18:27:27 -0800] "GET /index.php HTTP/1.0" 200 4249 "http://lifelineprc.com/index.php" "Opera/9.80 (Windows NT 6.1; U; YB/3.5.1; ru) Presto/2.6.30 Version/10.63" "lifelineprc.com"
70.88.10.249 - - [04/Feb/2014:20:06:13 -0800] "GET /img/icons/community.png HTTP/1.1" 200 100285 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelineprc.com"
217.69.133.236 - - [04/Feb/2014:21:09:20 -0800] "GET /ewyl.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:27 -0800] "GET /css/general.css HTTP/1.1" 200 1239 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:27 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:27 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:27 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:27 -0800] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:27 -0800] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:27 -0800] "GET /img/slider/image6.jpg HTTP/1.1" 200 322835 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:27 -0800] "GET /img/slider/image3.jpg HTTP/1.1" 200 577297 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:28 -0800] "GET /img/slider/image2.jpg HTTP/1.1" 200 691385 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:28 -0800] "GET /img/icons/services.png HTTP/1.1" 200 100556 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:28 -0800] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:28 -0800] "GET /img/icons/peer.png HTTP/1.1" 200 81327 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:30 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
119.147.146.189 - - [04/Feb/2014:22:32:30 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; MAXTHON 2.0)" "lifelinepregnancyhelp.org"
119.147.146.189 - - [04/Feb/2014:22:32:30 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; MAXTHON 2.0)" "lifelinepregnancyhelp.org"
98.249.219.50 - - [04/Feb/2014:22:32:46 -0800] "GET /services.php HTTP/1.1" 200 3925 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "lifelinepregnancyhelp.org"
119.147.146.194 - - [04/Feb/2014:22:32:52 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; MAXTHON 2.0)" "lifelinepregnancyhelp.org"
178.137.94.155 - - [04/Feb/2014:22:46:03 -0800] "GET / HTTP/1.1" 200 4249 "http://www.sax-sex.com.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; ru) Opera 8.01" "lifelinepregnancyhelp.org"
178.137.94.155 - - [04/Feb/2014:22:46:04 -0800] "GET / HTTP/1.1" 200 4249 "http://www.sax-sex.com.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; ru) Opera 8.01" "lifelinepregnancyhelp.org"
178.137.94.155 - - [04/Feb/2014:22:46:05 -0800] "GET / HTTP/1.1" 200 4249 "http://www.sax-sex.com.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; ru) Opera 8.01" "lifelinepregnancyhelp.org"
