37.9.53.91 - - [18/Feb/2014:16:29:27 -0800] "GET /sites/all/modules/fckeditor/fckeditor/editor/filemanager/connectors/uploadtest.html HTTP/1.0" 404 73 "http://LIFELINEPRC.COM/sites/all/modules/fckeditor/fckeditor/editor/filemanager/connectors/uploadtest.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90)" "lifelineprc.com"
123.125.71.22 - - [18/Feb/2014:18:10:23 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
123.125.71.31 - - [18/Feb/2014:18:17:03 -0800] "GET /stories.php HTTP/1.1" 200 5941 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
220.181.108.176 - - [18/Feb/2014:18:20:23 -0800] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
220.181.108.94 - - [18/Feb/2014:18:23:52 -0800] "GET /services.php?service=peer HTTP/1.1" 200 3929 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
220.181.108.94 - - [18/Feb/2014:18:27:03 -0800] "GET /services.php?service=programs HTTP/1.1" 200 3933 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
220.181.108.154 - - [18/Feb/2014:18:30:27 -0800] "GET /index.php HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
220.181.108.177 - - [18/Feb/2014:18:30:28 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
220.181.108.93 - - [18/Feb/2014:18:33:43 -0800] "GET /contact.php HTTP/1.1" 200 7477 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
166.182.83.52 - - [18/Feb/2014:18:59:40 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Dolphin http client/10.2.0(260) (Android)" "www.lifelineprc.com"
166.182.83.52 - - [18/Feb/2014:18:59:41 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Dolphin http client/10.2.0(260) (Android)" "www.lifelineprc.com"
157.55.32.99 - - [18/Feb/2014:19:40:21 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
66.249.73.10 - - [18/Feb/2014:21:02:54 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelineprc.com"
157.55.32.99 - - [18/Feb/2014:21:09:45 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
157.55.33.31 - - [18/Feb/2014:21:53:41 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:12 -0800] "GET / HTTP/1.1" 200 4249 "http://www.lovebasket.org/Im-Pregnant/Pregnancy-Resources/Missouri-Pregnancy-Resources.aspx" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:12 -0800] "GET /css/general.css HTTP/1.1" 200 1239 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:12 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:12 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:21 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:22 -0800] "GET /img/slider/image6.jpg HTTP/1.1" 200 322835 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:22 -0800] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:22 -0800] "GET /img/icons/programs.png HTTP/1.1" 200 87200 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:22 -0800] "GET /img/icons/services.png HTTP/1.1" 200 100556 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:22 -0800] "GET /img/icons/community.png HTTP/1.0" 200 100285 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
161.130.15.53 - - [18/Feb/2014:23:46:22 -0800] "GET /img/icons/peer.png HTTP/1.1" 200 81327 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; Media Center PC 6.0; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C)" "www.lifelineprc.com"
