193.150.120.33 - - [21/Feb/2014:16:20:30 -0800] "GET / HTTP/1.1" 200 4249 "http://znakomstvaonlain.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; Alexa Toolbar; (R1 1.5))" "lifelinepregnancyhelp.org"
5.10.83.7 - - [21/Feb/2014:17:17:13 -0800] "GET /about.php HTTP/1.1" 200 4968 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
99.195.203.244 - - [21/Feb/2014:17:26:16 -0800] "GET / HTTP/1.1" 200 4249 "http://laplatafbc.org/links" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:16 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:16 -0800] "GET /css/general.css HTTP/1.1" 200 1239 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:16 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:16 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:18 -0800] "GET /img/icons/services.png HTTP/1.1" 200 100556 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:18 -0800] "GET /img/slider/image6.jpg HTTP/1.1" 200 322835 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:18 -0800] "GET /img/slider/image2.jpg HTTP/1.1" 200 691385 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:18 -0800] "GET /img/slider/image1.jpg HTTP/1.1" 200 994823 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
99.195.203.244 - - [21/Feb/2014:17:26:40 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36" "lifelinepregnancyhelp.org"
92.249.127.111 - - [21/Feb/2014:17:44:27 -0800] "GET / HTTP/1.1" 200 4249 "http://chimiver.info/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Media Center PC" "lifelinepregnancyhelp.org"
92.249.127.111 - - [21/Feb/2014:17:44:28 -0800] "GET / HTTP/1.1" 200 4249 "http://chimiver.info/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Media Center PC" "lifelinepregnancyhelp.org"
157.55.36.39 - - [21/Feb/2014:18:51:25 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
157.55.35.31 - - [21/Feb/2014:18:53:50 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
5.9.74.73 - - [21/Feb/2014:19:31:37 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:38 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:40 -0800] "GET /services.php?service=peer HTTP/1.1" 200 3929 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:41 -0800] "GET /services.php?service=tests HTTP/1.1" 200 3930 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:42 -0800] "GET /services.php?service=community HTTP/1.1" 200 3934 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:43 -0800] "GET /about.php HTTP/1.1" 200 4968 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:44 -0800] "GET /index.php HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:44 -0800] "GET /services.php?service=programs HTTP/1.1" 200 3933 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:45 -0800] "GET /services.php HTTP/1.1" 200 3925 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:46 -0800] "GET /contact.php HTTP/1.1" 200 7477 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [21/Feb/2014:19:31:47 -0800] "GET /stories.php HTTP/1.1" 200 5941 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
50.179.29.61 - - [21/Feb/2014:20:19:13 -0800] "GET /css/bootstrap.css HTTP/1.1" 304 - "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
50.179.29.61 - - [21/Feb/2014:20:19:13 -0800] "GET /css/general.css HTTP/1.1" 200 1239 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
50.179.29.61 - - [21/Feb/2014:20:19:13 -0800] "GET /js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
50.179.29.61 - - [21/Feb/2014:20:19:13 -0800] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
50.179.29.61 - - [21/Feb/2014:20:19:14 -0800] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
50.179.29.61 - - [21/Feb/2014:20:19:14 -0800] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
50.179.29.61 - - [21/Feb/2014:20:19:14 -0800] "GET /img/icons/services.png HTTP/1.1" 200 100556 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
50.179.29.61 - - [21/Feb/2014:20:19:15 -0800] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36" "www.lifelineprc.com"
23.23.43.122 - - [21/Feb/2014:22:58:11 -0800] "HEAD / HTTP/1.1" 200 579 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11" "www.lifelineprc.com"
157.55.32.84 - - [21/Feb/2014:23:18:34 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
208.43.252.200 - - [21/Feb/2014:23:43:53 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; chromeframe/19.0.1084.52)" "www.lifelineprc.com"
208.43.252.200 - - [21/Feb/2014:23:43:58 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; chromeframe/19.0.1084.52)" "www.lifelineprc.com"
66.249.73.178 - - [22/Feb/2014:01:11:38 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelinepregnancyhelp.org"
208.43.252.200 - - [22/Feb/2014:02:08:44 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; chromeframe/19.0.1084.52)" "www.lifelineprc.com"
157.55.32.56 - - [22/Feb/2014:03:30:43 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
68.180.224.230 - - [22/Feb/2014:04:08:03 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" "www.lifelineprc.com"
68.68.110.30 - - [22/Feb/2014:04:13:03 -0800] "GET / HTTP/1.0" 200 4249 "http://friendsoflifelinephc.org/services.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009051221 Firefox/3.0.10" "lifelinepregnancyhelp.org"
159.224.57.168 - - [22/Feb/2014:04:52:15 -0800] "GET /phpmyadmin HTTP/1.1" 404 89 "-" "-" "www.lifelinepregnancyhelp.org"
166.182.81.40 - - [22/Feb/2014:05:46:49 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Dolphin http client/10.2.0(260) (Android)" "www.lifelineprc.com"
166.182.81.40 - - [22/Feb/2014:05:46:50 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Dolphin http client/10.2.0(260) (Android)" "www.lifelineprc.com"
65.55.52.114 - - [22/Feb/2014:06:09:01 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
46.118.125.84 - - [22/Feb/2014:06:22:10 -0800] "GET / HTTP/1.1" 200 4249 "http://sisiynas.ru/" "Opera/8.01 (Windows NT 5.1)" "lifelinepregnancyhelp.org"
46.118.125.84 - - [22/Feb/2014:06:22:11 -0800] "GET / HTTP/1.1" 200 4249 "http://sisiynas.ru/" "Opera/8.01 (Windows NT 5.1)" "lifelinepregnancyhelp.org"
46.118.125.84 - - [22/Feb/2014:06:22:12 -0800] "GET / HTTP/1.1" 200 4249 "http://sisiynas.ru/" "Opera/8.01 (Windows NT 5.1)" "lifelinepregnancyhelp.org"
178.137.5.3 - - [22/Feb/2014:06:44:40 -0800] "GET / HTTP/1.1" 200 4249 "http://www.kalb.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Media Center PC" "lifelinepregnancyhelp.org"
178.137.5.3 - - [22/Feb/2014:06:44:41 -0800] "GET / HTTP/1.1" 200 4249 "http://www.kalb.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Media Center PC" "lifelinepregnancyhelp.org"
178.137.5.3 - - [22/Feb/2014:06:44:41 -0800] "GET / HTTP/1.1" 200 4249 "http://www.kalb.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Media Center PC" "lifelinepregnancyhelp.org"
180.76.6.64 - - [22/Feb/2014:06:48:32 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
208.115.111.72 - - [22/Feb/2014:09:00:38 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "www.lifelineprc.com"
166.182.82.26 - - [22/Feb/2014:09:12:19 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Dolphin http client/10.2.0(260) (Android)" "www.lifelineprc.com"
94.153.65.49 - - [22/Feb/2014:10:31:34 -0800] "GET / HTTP/1.1" 200 4249 "http://www.onefilms.net/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)" "lifelinepregnancyhelp.org"
157.55.32.56 - - [22/Feb/2014:10:34:30 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
66.249.73.232 - - [22/Feb/2014:13:52:21 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelineprc.com"
65.55.52.88 - - [22/Feb/2014:14:15:01 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
