182.118.35.29 - - [11/Mar/2014:17:08:06 -0700] "GET /robots.txt HTTP/1.1" 404 89 "http://www.lifelinepregnancyhelp.org/robots.txt" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1" "www.lifelinepregnancyhelp.org"
71.85.210.202 - - [11/Mar/2014:17:49:21 -0700] "GET / HTTP/1.1" 200 4249 "http://ramahinternational.org/missouri.html" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:49:21 -0700] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:49:21 -0700] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:49:22 -0700] "GET /img/icons/services.png HTTP/1.1" 200 100556 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:49:22 -0700] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:49:23 -0700] "GET /img/slider/image1.jpg HTTP/1.1" 200 994823 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:49:33 -0700] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://www.lifelineprc.com/services.php" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:49:33 -0700] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "http://www.lifelineprc.com/services.php" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:49:39 -0700] "GET /services/tests.php HTTP/1.1" 200 1143 "http://www.lifelineprc.com/services.php" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
71.85.210.202 - - [11/Mar/2014:17:50:50 -0700] "GET /contact.php HTTP/1.1" 200 7477 "http://www.lifelineprc.com/services.php" "Mozilla/5.0 (Linux; U; Android 4.3; en-us; SCH-I535 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.lifelineprc.com"
65.55.215.40 - - [11/Mar/2014:17:57:49 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.lifelinepregnancyhelp.org"
65.55.215.40 - - [11/Mar/2014:17:57:49 -0700] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.lifelinepregnancyhelp.org"
173.252.74.119 - - [11/Mar/2014:20:18:59 -0700] "GET / HTTP/1.1" 200 4249 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
173.252.74.115 - - [11/Mar/2014:20:19:00 -0700] "GET /img/slider/image1.jpg HTTP/1.1" 206 9000 "http://www.lifelinepregnancyhelp.org/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
173.252.74.112 - - [11/Mar/2014:20:19:00 -0700] "GET /img/slider/logo.jpg HTTP/1.1" 206 9000 "http://www.lifelinepregnancyhelp.org/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
173.252.74.114 - - [11/Mar/2014:20:19:00 -0700] "GET /img/icons/services.png HTTP/1.1" 206 9000 "http://www.lifelinepregnancyhelp.org/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
69.171.233.116 - - [11/Mar/2014:20:19:01 -0700] "GET /img/slider/image6.jpg HTTP/1.1" 206 322835 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
69.171.233.117 - - [11/Mar/2014:20:19:01 -0700] "GET /img/icons/programs.png HTTP/1.1" 206 87200 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
69.171.233.115 - - [11/Mar/2014:20:19:01 -0700] "GET /img/icons/peer.png HTTP/1.1" 206 81327 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
69.171.233.116 - - [11/Mar/2014:20:19:01 -0700] "GET /img/slider/image3.jpg HTTP/1.1" 206 577297 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
69.171.233.118 - - [11/Mar/2014:20:19:01 -0700] "GET /img/slider/logo.jpg HTTP/1.0" 206 490803 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
69.171.233.117 - - [11/Mar/2014:20:19:01 -0700] "GET /img/icons/community.png HTTP/1.1" 206 100285 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
