199.91.135.140 - - [31/Mar/2014:17:22:07 -0700] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "www.lifelinepregnancyhelp.org"
65.129.43.73 - - [31/Mar/2014:17:22:07 -0700] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "www.lifelinepregnancyhelp.org"
65.129.43.73 - - [31/Mar/2014:17:22:07 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "www.lifelinepregnancyhelp.org"
65.129.43.73 - - [31/Mar/2014:17:22:07 -0700] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "www.lifelinepregnancyhelp.org"
65.129.43.73 - - [31/Mar/2014:17:22:07 -0700] "GET /css/general.css HTTP/1.1" 200 1239 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "www.lifelinepregnancyhelp.org"
65.129.43.73 - - [31/Mar/2014:17:22:22 -0700] "GET /css/general.css HTTP/1.1" 304 - "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "www.lifelinepregnancyhelp.org"
65.129.43.73 - - [31/Mar/2014:17:22:23 -0700] "GET /img/slider/image3.jpg HTTP/1.1" 200 577297 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "www.lifelinepregnancyhelp.org"
65.129.43.73 - - [31/Mar/2014:17:22:24 -0700] "GET /img/theme7bg2.png HTTP/1.1" 200 51231 "http://www.lifelinepregnancyhelp.org/css/general.css" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "www.lifelinepregnancyhelp.org"
208.90.57.196 - - [31/Mar/2014:18:40:57 -0700] "GET /about.php HTTP/1.1" 200 4968 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0.1) Gecko/20100101 Firefox/4.0.1" "www.lifelineprc.com"
162.195.48.157 - - [31/Mar/2014:19:58:31 -0700] "GET / HTTP/1.1" 200 4249 "https://www.google.com/" "Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53" "www.lifelinepregnancyhelp.org"
162.195.48.157 - - [31/Mar/2014:19:58:31 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53" "www.lifelinepregnancyhelp.org"
162.195.48.157 - - [31/Mar/2014:19:58:31 -0700] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53" "www.lifelinepregnancyhelp.org"
162.195.48.157 - - [31/Mar/2014:19:58:31 -0700] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53" "www.lifelinepregnancyhelp.org"
162.195.48.157 - - [31/Mar/2014:19:58:31 -0700] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53" "www.lifelinepregnancyhelp.org"
