217.69.133.70 - - [09/Apr/2014:17:00:15 -0700] "GET /m& HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "lifelinepregnancyhelp.org"
50.67.234.213 - - [09/Apr/2014:17:50:09 -0700] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
50.67.234.213 - - [09/Apr/2014:17:50:10 -0700] "GET /register/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
50.67.234.213 - - [09/Apr/2014:17:50:10 -0700] "GET /signup.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
157.56.93.73 - - [09/Apr/2014:17:53:40 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
107.203.213.39 - - [09/Apr/2014:17:59:13 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; Android 4.2.2; NS-14T002 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Safari/537.36" "www.lifelineprc.com"
107.203.213.39 - - [09/Apr/2014:17:59:13 -0700] "GET /css/general.css HTTP/1.1" 200 1239 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; Android 4.2.2; NS-14T002 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Safari/537.36" "www.lifelineprc.com"
107.203.213.39 - - [09/Apr/2014:17:59:13 -0700] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; Android 4.2.2; NS-14T002 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Safari/537.36" "www.lifelineprc.com"
107.203.213.39 - - [09/Apr/2014:17:59:13 -0700] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; Android 4.2.2; NS-14T002 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Safari/537.36" "www.lifelineprc.com"
107.203.213.39 - - [09/Apr/2014:17:59:13 -0700] "GET /img/slider/image3.jpg HTTP/1.1" 200 577297 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; Android 4.2.2; NS-14T002 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Safari/537.36" "www.lifelineprc.com"
107.203.213.39 - - [09/Apr/2014:17:59:14 -0700] "GET /img/icons/services.png HTTP/1.1" 200 100556 "http://www.lifelineprc.com/" "Mozilla/5.0 (Linux; Android 4.2.2; NS-14T002 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Safari/537.36" "www.lifelineprc.com"
