66.249.70.51 - - [12/Apr/2014:18:06:51 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelinepregnancyhelp.org"
157.55.33.182 - - [12/Apr/2014:20:55:58 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
68.180.224.234 - - [12/Apr/2014:21:31:45 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" "www.lifelineprc.com"
157.55.35.81 - - [12/Apr/2014:21:38:46 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
66.249.70.58 - - [12/Apr/2014:21:59:02 -0700] "GET /locations.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelineprc.com"
65.55.55.231 - - [12/Apr/2014:22:11:53 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
142.4.208.208 - - [12/Apr/2014:22:36:17 -0700] "POST /wp-login.php HTTP/1.1" 404 89 "http://www.google.com/" "Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.14" "lifelineprc.com"
46.28.105.84 - - [12/Apr/2014:22:46:15 -0700] "POST /wp-login.php HTTP/1.1" 404 89 "http://www.google.com/" "Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.14" "lifelineprc.com"
212.227.29.47 - - [12/Apr/2014:22:56:13 -0700] "POST /wp-login.php HTTP/1.1" 404 89 "http://www.google.com/" "Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.14" "lifelineprc.com"
82.193.99.33 - - [13/Apr/2014:00:16:51 -0700] "GET / HTTP/1.1" 200 4249 "http://randecan.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Crazy Browser 2.0.0 Beta 1; .NET CLR 1.0.3705; .NET CLR 1.1.4322)" "lifelinepregnancyhelp.org"
82.193.99.33 - - [13/Apr/2014:00:16:51 -0700] "GET / HTTP/1.1" 200 4249 "http://randecan.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Crazy Browser 2.0.0 Beta 1; .NET CLR 1.0.3705; .NET CLR 1.1.4322)" "lifelinepregnancyhelp.org"
