123.125.71.44 - - [21/Oct/2013:17:06:07 -0700] "GET /forMen.html HTTP/1.1" 200 2330 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
157.56.93.95 - - [21/Oct/2013:18:33:45 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
67.221.222.70 - - [21/Oct/2013:18:37:26 -0700] "GET /index.html HTTP/1.1" 200 2642 "http://www.lifelineprc.com/options.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.lifelineprc.com"
67.221.222.70 - - [21/Oct/2013:18:37:29 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://www.lifelineprc.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.lifelineprc.com"
67.221.222.70 - - [21/Oct/2013:18:37:32 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://www.lifelineprc.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.lifelineprc.com"
178.137.161.226 - - [21/Oct/2013:18:46:29 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://vip-master-shop.com.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; FunWebProducts; MRA 4.6 (build 01425); .NET CLR 1.1.4322; .NET CLR 2.0.50727)" "www.lifelineprc.com"
91.207.4.206 - - [21/Oct/2013:18:50:09 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://reg-vrn.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; FDM)" "www.lifelineprc.com"
91.207.4.206 - - [21/Oct/2013:18:50:10 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://reg-vrn.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; FDM)" "www.lifelineprc.com"
69.29.64.205 - - [21/Oct/2013:18:52:00 -0700] "GET /locations.html HTTP/1.1" 200 2253 "http://autosearch.centurylink.com/index.php?origURL=http%3A//lifelinepregancyhelpclinic.org/&r=" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:00 -0700] "GET /style.css HTTP/1.1" 304 - "http://www.lifelinepregnancyhelp.org/locations.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
69.29.64.205 - - [21/Oct/2013:18:52:00 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://www.lifelinepregnancyhelp.org/style.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0" "www.lifelinepregnancyhelp.org"
