208.167.230.51 - - [06/Jun/2013:18:51:39 -0700] "GET / HTTP/1.1" 200 2476 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
157.56.93.41 - - [06/Jun/2013:18:56:41 -0700] "GET /robots.txt HTTP/1.0" 404 73 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
123.125.71.30 - - [06/Jun/2013:18:59:33 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "lifelineprc.com"
199.127.50.73 - - [06/Jun/2013:19:32:50 -0700] "GET /version2/index.php HTTP/1.1" 200 1450 "http://us-mg205.mail.yahoo.com/neo/launch?.partner=sbc&.rand=91au8k3qilb5p" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:32:51 -0700] "GET /version2/img/icons/programs.png HTTP/1.1" 200 87200 "http://www.lifelinepregnancyhelp.org/version2/index.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:32:51 -0700] "GET /version2/img/icons/services.png HTTP/1.1" 200 100556 "http://www.lifelinepregnancyhelp.org/version2/index.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:32:51 -0700] "GET /version2/img/icons/community.png HTTP/1.1" 200 100285 "http://www.lifelinepregnancyhelp.org/version2/index.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:32:51 -0700] "GET /version2/img/icons/peer.png HTTP/1.1" 200 81327 "http://www.lifelinepregnancyhelp.org/version2/index.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:32:51 -0700] "GET /version2/img/theme3bg.png HTTP/1.1" 200 40730 "http://www.lifelinepregnancyhelp.org/version2/index.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:33:01 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
199.127.50.73 - - [06/Jun/2013:19:33:13 -0700] "GET /version2/services.php?service=programs HTTP/1.1" 200 1408 "http://www.lifelinepregnancyhelp.org/version2/index.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
