173.199.116.235 - - [10/Jun/2013:17:07:35 -0700] "GET /index.html HTTP/1.1" 200 2477 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
24.240.112.22 - - [10/Jun/2013:18:20:40 -0700] "GET / HTTP/1.0" 200 2453 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
24.240.112.22 - - [10/Jun/2013:18:20:56 -0700] "GET /robots.txt HTTP/1.0" 404 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "www.lifelineprc.com"
76.24.10.242 - - [10/Jun/2013:20:09:02 -0700] "GET / HTTP/1.1" 200 2597 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
76.24.10.242 - - [10/Jun/2013:20:09:02 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelinepregnancyhelp.org"
108.205.233.62 - - [10/Jun/2013:20:17:17 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.lifelinepregnancyhelp.org"
68.186.168.35 - - [10/Jun/2013:20:27:32 -0700] "GET /style.css HTTP/1.1" 200 1636 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
68.186.168.35 - - [10/Jun/2013:20:27:32 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://www.lifelinepregnancyhelp.org/style.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
68.186.168.35 - - [10/Jun/2013:20:28:03 -0700] "GET /abortion.html HTTP/1.1" 200 3237 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
68.186.168.35 - - [10/Jun/2013:20:29:24 -0700] "GET /forMen.html HTTP/1.1" 200 2155 "http://www.lifelinepregnancyhelp.org/abortion.html" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
68.186.168.35 - - [10/Jun/2013:20:29:24 -0700] "GET /assets/images/man.jpg HTTP/1.1" 200 24927 "http://www.lifelinepregnancyhelp.org/forMen.html" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "www.lifelinepregnancyhelp.org"
