178.255.215.67 - - [25/Jun/2013:17:03:11 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)" "lifelinepregnancyhelp.org"
173.199.116.243 - - [25/Jun/2013:17:33:53 -0700] "GET /postabortion.html HTTP/1.1" 200 2318 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "lifelinepregnancyhelp.org"
157.55.33.88 - - [25/Jun/2013:18:33:39 -0700] "GET / HTTP/1.1" 200 2475 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
199.30.25.126 - - [25/Jun/2013:19:34:56 -0700] "GET /style.css HTTP/1.1" 200 1636 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "lifelineprc.com"
199.30.25.126 - - [25/Jun/2013:19:34:57 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "lifelineprc.com"
199.21.99.125 - - [25/Jun/2013:21:00:18 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.lifelineprc.com"
65.55.215.57 - - [25/Jun/2013:21:22:38 -0700] "GET /assets/images/hallway.jpg HTTP/1.1" 200 24415 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "lifelineprc.com"
217.86.236.117 - - [25/Jun/2013:21:55:18 -0700] "GET /robots.txt HTTP/1.0" 404 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
217.86.236.117 - - [25/Jun/2013:21:55:27 -0700] "GET /robots.txt HTTP/1.0" 404 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "www.lifelineprc.com"
217.86.236.117 - - [25/Jun/2013:21:55:31 -0700] "GET / HTTP/1.1" 200 4482 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "www.lifelineprc.com"
46.229.164.97 - - [25/Jun/2013:22:08:54 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SemrushBot/0.96.3; +http://www.semrush.com/bot.html)" "lifelineprc.com"
46.229.164.97 - - [25/Jun/2013:22:59:26 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SemrushBot/0.96.3; +http://www.semrush.com/bot.html)" "lifelinepregnancyhelp.org"
71.72.18.97 - - [25/Jun/2013:23:27:50 -0700] "GET /symptoms.html HTTP/1.1" 200 3401 "-" "SEOENGWorldBot/1.0 (+http://www.seoengine.com/seoengbot.htm)" "www.lifelinepregnancyhelp.org"
71.72.18.97 - - [25/Jun/2013:23:38:28 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "SEOENGWorldBot/1.0 (+http://www.seoengine.com/seoengbot.htm)" "www.lifelineprc.com"
