173.252.112.112 - - [26/Aug/2013:17:30:26 -0700] "GET /assets/images/purefreedom.jpg HTTP/1.1" 206 16761 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
108.200.125.15 - - [26/Aug/2013:17:47:35 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 304 - "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36" "www.lifelinepregnancyhelp.org"
108.200.125.15 - - [26/Aug/2013:17:47:35 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36" "www.lifelinepregnancyhelp.org"
108.200.125.15 - - [26/Aug/2013:17:47:44 -0700] "GET /index.html HTTP/1.1" 200 2647 "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36" "www.lifelinepregnancyhelp.org"
108.200.125.15 - - [26/Aug/2013:17:47:44 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://www.lifelinepregnancyhelp.org/index.html" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36" "www.lifelinepregnancyhelp.org"
109.120.157.179 - - [26/Aug/2013:17:58:31 -0700] "GET / HTTP/1.1" 200 4482 "http://sovetogorod.ru/" "Mozilla/5.0 (compatible; Add Catalog/2.1;)" "lifelineprc.com"
5.10.83.9 - - [26/Aug/2013:18:01:01 -0700] "GET / HTTP/1.1" 200 2477 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelinepregnancyhelp.org"
173.252.73.116 - - [26/Aug/2013:18:07:38 -0700] "GET /assets/images/purefreedom.jpg HTTP/1.1" 206 16761 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
5.10.83.9 - - [26/Aug/2013:19:16:32 -0700] "GET /locations.html HTTP/1.1" 200 2130 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "lifelinepregnancyhelp.org"
5.10.83.9 - - [26/Aug/2013:19:33:06 -0700] "GET /postabortion.html HTTP/1.1" 200 2486 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelinepregnancyhelp.org"
70.195.0.200 - - [26/Aug/2013:19:45:41 -0700] "GET /style.css HTTP/1.1" 200 1636 "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B350 [FBAN/FBIOS;FBAV/6.2;FBBV/228172;FBDV/iPhone5,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.1.4;FBSS/2; FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/1]" "www.lifelinepregnancyhelp.org"
70.195.0.200 - - [26/Aug/2013:19:45:42 -0700] "GET /assets/images/purefreedom.jpg HTTP/1.1" 200 16761 "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B350 [FBAN/FBIOS;FBAV/6.2;FBBV/228172;FBDV/iPhone5,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.1.4;FBSS/2; FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/1]" "www.lifelinepregnancyhelp.org"
70.195.0.200 - - [26/Aug/2013:19:45:42 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 304 - "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B350 [FBAN/FBIOS;FBAV/6.2;FBBV/228172;FBDV/iPhone5,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.1.4;FBSS/2; FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/1]" "www.lifelinepregnancyhelp.org"
70.195.0.200 - - [26/Aug/2013:19:45:42 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B350 [FBAN/FBIOS;FBAV/6.2;FBBV/228172;FBDV/iPhone5,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.1.4;FBSS/2; FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/1]" "www.lifelinepregnancyhelp.org"
5.10.83.89 - - [26/Aug/2013:19:48:34 -0700] "GET /contactus.html HTTP/1.1" 200 3599 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
69.171.234.113 - - [26/Aug/2013:20:22:33 -0700] "GET /assets/images/purefreedom.jpg HTTP/1.1" 206 16761 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.lifelinepregnancyhelp.org"
5.10.83.89 - - [26/Aug/2013:20:33:35 -0700] "GET /options.html HTTP/1.1" 200 3011 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
157.56.229.87 - - [26/Aug/2013:21:38:51 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
157.55.35.112 - - [26/Aug/2013:21:42:32 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
