151.138.13.244 - - [16/Sep/2013:18:32:35 -0700] "GET / HTTP/1.1" 200 4482 "-" "SuperPagesUrlVerifyBot/1.0" "www.lifelineprc.com"
188.143.232.103 - - [16/Sep/2013:19:12:39 -0700] "GET /admin/fckeditor/editor/filemanager/browser/default/connectors/php/connector.php?Command=GetFoldersAndFiles&Type=File&CurrentFolder=%2F HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0" "lifelineprc.com"
188.143.232.103 - - [16/Sep/2013:19:12:39 -0700] "GET /admin/FCKeditor/editor/filemanager/connectors/php/connector.php?Command=GetFoldersAndFiles&Type=File&CurrentFolder=%2F HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0" "lifelineprc.com"
188.143.232.103 - - [16/Sep/2013:19:12:39 -0700] "GET /admin/fckeditor/editor/filemanager/connectors/php/connector.php?Command=GetFoldersAndFiles&Type=File&CurrentFolder=%2F HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0" "lifelineprc.com"
188.143.232.103 - - [16/Sep/2013:19:12:40 -0700] "GET /FCK/editor/filemanager/connectors/php/connector.php?Command=GetFoldersAndFiles&Type=File&CurrentFolder=%2F HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0" "lifelineprc.com"
188.143.232.103 - - [16/Sep/2013:19:12:40 -0700] "GET /FCKeditor/editor/filemanager/browser/default/connectors/php/connector.php?Command=GetFoldersAndFiles&Type=File&CurrentFolder=%2F HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0" "lifelineprc.com"
188.143.232.103 - - [16/Sep/2013:19:12:40 -0700] "GET /FCKeditor/editor/filemanager/connectors/php/connector.php?Command=GetFoldersAndFiles&Type=File&CurrentFolder=%2F HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0" "lifelineprc.com"
188.143.232.103 - - [16/Sep/2013:19:12:40 -0700] "GET /fckeditor/editor/filemanager/connectors/php/connector.php?Command=GetFoldersAndFiles&Type=File&CurrentFolder=%2F HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0" "lifelineprc.com"
205.237.88.148 - - [16/Sep/2013:19:43:53 -0700] "GET / HTTP/1.0" 200 4482 "-" "=Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16" "lifelineprc.com"
5.9.74.73 - - [16/Sep/2013:19:49:48 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:52 -0700] "GET /appointment.php HTTP/1.1" 200 3664 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:52 -0700] "GET /symptoms.html HTTP/1.1" 200 3790 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:53 -0700] "GET /postabortion.html HTTP/1.1" 200 4095 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:54 -0700] "GET /services.html HTTP/1.1" 200 3368 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:55 -0700] "GET /index.html HTTP/1.1" 200 4871 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:56 -0700] "GET /locations.html HTTP/1.1" 200 3905 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:56 -0700] "GET /options.html HTTP/1.1" 200 5870 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:57 -0700] "GET /forMen.html HTTP/1.1" 200 3569 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:49:58 -0700] "GET /abortion.html HTTP/1.1" 200 6210 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
5.9.74.73 - - [16/Sep/2013:19:50:00 -0700] "GET /purefreedom.html HTTP/1.1" 200 3389 "-" "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)" "lifelinepregnancyhelp.org"
180.76.5.85 - - [16/Sep/2013:20:18:56 -0700] "GET /postabortionforum.html HTTP/1.1" 200 1996 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
180.76.5.91 - - [16/Sep/2013:20:33:56 -0700] "GET /abortion.html HTTP/1.1" 200 3411 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
123.125.71.81 - - [16/Sep/2013:20:57:24 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
178.137.92.229 - - [16/Sep/2013:21:52:17 -0700] "GET / HTTP/1.1" 200 4482 "http://samsung-servicemanuals.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
178.137.92.229 - - [16/Sep/2013:21:52:17 -0700] "GET / HTTP/1.1" 200 4482 "http://kabinanadom.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
178.137.92.229 - - [16/Sep/2013:21:52:18 -0700] "GET / HTTP/1.1" 200 4482 "http://kabinanadom.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
178.137.92.229 - - [16/Sep/2013:21:52:18 -0700] "GET / HTTP/1.1" 200 4482 "http://samsung-servicemanuals.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
178.137.92.229 - - [16/Sep/2013:21:52:19 -0700] "GET / HTTP/1.1" 200 4482 "http://kabinanadom.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
