157.56.92.162 - - [17/Sep/2013:17:39:24 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
64.111.59.192 - - [17/Sep/2013:18:07:19 -0700] "GET / HTTP/1.1" 200 2586 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelineprc.com"
64.111.59.192 - - [17/Sep/2013:18:07:20 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelineprc.com"
64.111.59.192 - - [17/Sep/2013:18:07:20 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelineprc.com"
64.111.59.192 - - [17/Sep/2013:18:07:44 -0700] "GET /ewyl.html HTTP/1.1" 200 2306 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelineprc.com"
64.111.59.192 - - [17/Sep/2013:18:08:10 -0700] "GET /services.html HTTP/1.1" 200 2048 "http://www.lifelineprc.com/locations.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelineprc.com"
64.111.59.192 - - [17/Sep/2013:18:08:10 -0700] "GET /assets/images/redgirl.jpg HTTP/1.1" 200 110627 "http://www.lifelineprc.com/services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36" "www.lifelineprc.com"
92.249.127.111 - - [17/Sep/2013:19:47:06 -0700] "GET / HTTP/1.1" 200 4482 "http://www.bravica.ws/ru/" "Mozilla/5.0 (compatible; news bot /2.1)" "lifelineprc.com"
92.249.127.111 - - [17/Sep/2013:19:47:07 -0700] "GET / HTTP/1.1" 200 4482 "http://www.bravica.ws/ru/" "Mozilla/5.0 (compatible; news bot /2.1)" "lifelineprc.com"
208.115.113.88 - - [17/Sep/2013:19:59:20 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "www.lifelineprc.com"
178.137.5.76 - - [17/Sep/2013:20:17:46 -0700] "GET / HTTP/1.1" 200 4482 "http://base-concept.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; FunWebProducts; MRA 4.6 (build 01425); .NET CLR 1.1.4322; .NET CLR 2.0.50727)" "lifelineprc.com"
123.125.71.83 - - [17/Sep/2013:20:28:29 -0700] "GET /Scripts/AC_ActiveX.js HTTP/1.1" 200 2149 "http://lifelinepregnancyhelp.org/options.html" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9) Gecko Minefield/3.0" "lifelinepregnancyhelp.org"
123.125.71.98 - - [17/Sep/2013:20:28:36 -0700] "GET /Scripts/AC_RunActiveContent.js HTTP/1.1" 200 2928 "http://lifelinepregnancyhelp.org/options.html" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9) Gecko Minefield/3.0" "lifelinepregnancyhelp.org"
24.84.88.127 - - [17/Sep/2013:20:34:19 -0700] "GET / HTTP/1.1" 200 2587 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
157.55.32.107 - - [17/Sep/2013:21:32:32 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
77.75.77.32 - - [17/Sep/2013:22:45:54 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "SeznamBot/3.0 (+http://fulltext.sblog.cz/)" "www.lifelineprc.com"
77.75.77.32 - - [17/Sep/2013:22:45:56 -0700] "GET /options.html HTTP/1.1" 200 3012 "-" "SeznamBot/3.0 (+http://fulltext.sblog.cz/)" "www.lifelineprc.com"
24.84.88.127 - - [17/Sep/2013:23:41:29 -0700] "GET / HTTP/1.1" 200 2587 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [17/Sep/2013:23:41:30 -0700] "GET /register/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [17/Sep/2013:23:41:45 -0700] "GET /login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [17/Sep/2013:23:41:46 -0700] "GET /signup.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
178.137.88.120 - - [17/Sep/2013:23:52:50 -0700] "GET / HTTP/1.1" 200 4482 "http://skupkaru.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT) ::ELNSB50::000061100320025802a00111000000000507000900000000" "lifelineprc.com"
178.137.88.120 - - [17/Sep/2013:23:52:51 -0700] "GET / HTTP/1.1" 200 4482 "http://skupkaru.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT) ::ELNSB50::000061100320025802a00111000000000507000900000000" "lifelineprc.com"
178.137.88.120 - - [17/Sep/2013:23:52:52 -0700] "GET / HTTP/1.1" 200 4482 "http://skupkaru.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT) ::ELNSB50::000061100320025802a00111000000000507000900000000" "lifelineprc.com"
182.64.65.48 - - [18/Sep/2013:00:23:28 -0700] "GET / HTTP/1.1" 200 4482 "-" "-" "www.lifelineprc.com"
180.76.5.113 - - [18/Sep/2013:01:31:48 -0700] "GET /options.html HTTP/1.1" 200 3012 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
199.30.20.144 - - [18/Sep/2013:02:00:39 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "lifelineprc.com"
199.30.20.144 - - [18/Sep/2013:02:00:39 -0700] "GET /assets/images/aboutLove.jpg HTTP/1.1" 200 52630 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "lifelineprc.com"
180.76.5.70 - - [18/Sep/2013:03:03:12 -0700] "GET /ewyl.html HTTP/1.1" 200 2305 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
66.249.80.32 - - [18/Sep/2013:03:22:30 -0700] "GET /symptoms.html HTTP/1.1" 200 2509 "http://www.google.com/search" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
66.249.80.32 - - [18/Sep/2013:03:22:30 -0700] "GET /style.css HTTP/1.1" 200 5261 "http://www.lifelineprc.com/symptoms.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
66.249.80.32 - - [18/Sep/2013:03:22:31 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://www.lifelineprc.com/symptoms.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
66.249.80.32 - - [18/Sep/2013:03:22:31 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://www.lifelineprc.com/symptoms.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
66.249.80.32 - - [18/Sep/2013:03:22:31 -0700] "GET /assets/images/pregnancy.jpg HTTP/1.1" 200 73198 "http://www.lifelineprc.com/symptoms.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Web Preview) Chrome/22.0.1229 Safari/537.4" "www.lifelineprc.com"
208.115.113.88 - - [18/Sep/2013:03:57:53 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "www.lifelineprc.com"
208.115.113.88 - - [18/Sep/2013:05:07:11 -0700] "GET /dadline.html HTTP/1.1" 200 3145 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "www.lifelineprc.com"
208.115.111.72 - - [18/Sep/2013:05:56:23 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "lifelineprc.com"
184.155.87.115 - - [18/Sep/2013:06:11:30 -0700] "GET /dadline.html HTTP/1.1" 200 2178 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.lifelineprc.com"
184.155.87.115 - - [18/Sep/2013:06:11:31 -0700] "GET /assets/images/dadline.jpg HTTP/1.1" 200 15054 "http://www.lifelineprc.com/dadline.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.lifelineprc.com"
184.155.87.115 - - [18/Sep/2013:06:11:31 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://www.lifelineprc.com/dadline.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.lifelineprc.com"
184.155.87.115 - - [18/Sep/2013:06:11:31 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://www.lifelineprc.com/dadline.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.lifelineprc.com"
66.249.73.132 - - [18/Sep/2013:06:51:45 -0700] "GET / HTTP/1.1" 200 2597 "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_1 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.22.7 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)" "www.lifelinepregnancyhelp.org"
216.145.130.246 - - [18/Sep/2013:07:49:58 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)" "www.lifelineprc.com"
220.181.108.157 - - [18/Sep/2013:07:56:29 -0700] "GET / HTTP/1.1" 200 2475 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
157.55.33.84 - - [18/Sep/2013:08:48:06 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
72.172.196.237 - - [18/Sep/2013:08:48:13 -0700] "GET / HTTP/1.1" 200 2586 "http://us.yhs4.search.yahoo.com/yhs/search?p=lifeline+pregnancy+help+center+kirksville&fr=goodsearch-yhsif&b=1" "Mozilla/5.0 (Windows NT 6.0; rv:23.0) Gecko/20100101 Firefox/23.0" "www.lifelineprc.com"
72.172.196.237 - - [18/Sep/2013:08:48:14 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.0; rv:23.0) Gecko/20100101 Firefox/23.0" "www.lifelineprc.com"
72.172.196.237 - - [18/Sep/2013:08:48:30 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://www.lifelinepregnancyhelp.org/style.css" "Mozilla/5.0 (Windows NT 6.0; rv:23.0) Gecko/20100101 Firefox/23.0" "www.lifelinepregnancyhelp.org"
72.172.196.237 - - [18/Sep/2013:08:48:37 -0700] "GET /purefreedom.html HTTP/1.1" 200 2271 "http://www.lifelinepregnancyhelp.org/locations.html" "Mozilla/5.0 (Windows NT 6.0; rv:23.0) Gecko/20100101 Firefox/23.0" "www.lifelinepregnancyhelp.org"
72.172.196.237 - - [18/Sep/2013:08:48:43 -0700] "GET /assets/images/purefreedom.jpg HTTP/1.1" 200 16761 "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (Windows NT 6.0; rv:23.0) Gecko/20100101 Firefox/23.0" "www.lifelinepregnancyhelp.org"
69.29.13.9 - - [18/Sep/2013:09:04:18 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://www.lifelineprc.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:04:20 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://www.lifelineprc.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:04:24 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:04:36 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
24.84.88.127 - - [18/Sep/2013:09:05:58 -0700] "GET / HTTP/1.1" 200 2587 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [18/Sep/2013:09:05:58 -0700] "GET /register/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [18/Sep/2013:09:05:59 -0700] "GET /login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [18/Sep/2013:09:05:59 -0700] "GET /signup.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:06:21 -0700] "GET /assets/images/redgirl.jpg HTTP/1.1" 200 110627 "http://www.lifelineprc.com/services.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:06:43 -0700] "GET /options.html HTTP/1.1" 200 3012 "http://www.lifelineprc.com/services.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:06:43 -0700] "GET /assets/images/medTestimony.jpg HTTP/1.1" 200 64550 "http://www.lifelineprc.com/options.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:06:43 -0700] "GET /Scripts/AC_RunActiveContent.js HTTP/1.1" 200 2928 "http://www.lifelineprc.com/options.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:06:44 -0700] "GET /assets/images/teenMom.jpg HTTP/1.1" 200 49039 "http://www.lifelineprc.com/options.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
69.29.13.9 - - [18/Sep/2013:09:06:44 -0700] "GET /assets/images/aboutLove.jpg HTTP/1.1" 200 52630 "http://www.lifelineprc.com/options.html" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Office of State Courts Administrator)" "www.lifelineprc.com"
100.43.83.135 - - [18/Sep/2013:09:33:39 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.lifelinepregnancyhelp.org"
100.43.83.135 - - [18/Sep/2013:11:09:45 -0700] "GET /services.html HTTP/1.1" 200 2047 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.lifelinepregnancyhelp.org"
157.55.32.93 - - [18/Sep/2013:11:10:39 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
90.227.104.72 - - [18/Sep/2013:12:08:14 -0700] "GET / HTTP/1.1" 200 4482 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.2.11) Gecko/20101012 Firefox/3.6.11 GTB7.1 ( .NET CLR 3.5.30729; .NET4.0E)" "www.lifelineprc.com"
