220.181.108.106 - - [22/Sep/2013:17:13:42 -0700] "GET /forMen.html HTTP/1.1" 200 2332 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
37.139.52.23 - - [22/Sep/2013:17:19:36 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://cookingmeat.ru/bird/recipe02.html" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 95)" "www.lifelineprc.com"
65.55.215.90 - - [22/Sep/2013:17:46:24 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.lifelinepregnancyhelp.org"
24.84.88.127 - - [22/Sep/2013:17:53:52 -0700] "GET /register/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [22/Sep/2013:17:53:52 -0700] "GET /login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
24.84.88.127 - - [22/Sep/2013:17:53:53 -0700] "GET /signup.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
109.120.157.179 - - [22/Sep/2013:18:20:15 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://vse-kupim.ru/" "Mozilla/5.0 (compatible; Add Catalog/2.1;)" "www.lifelineprc.com"
91.207.4.206 - - [22/Sep/2013:18:58:20 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://icase-online.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; KTXN)" "www.lifelineprc.com"
91.207.4.206 - - [22/Sep/2013:18:58:21 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://icase-online.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; KTXN)" "www.lifelineprc.com"
91.207.4.206 - - [22/Sep/2013:18:58:21 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://icase-online.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; KTXN)" "www.lifelineprc.com"
209.222.89.85 - - [22/Sep/2013:20:54:26 -0700] "GET /robots.txt HTTP/1.0" 404 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "www.lifelineprc.com"
209.222.89.85 - - [22/Sep/2013:20:54:45 -0700] "GET /LinnCountyPRC.html HTTP/1.0" 200 3157 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "www.lifelineprc.com"
157.56.229.23 - - [22/Sep/2013:22:13:59 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
62.219.8.227 - - [22/Sep/2013:22:56:46 -0700] "GET / HTTP/1.1" 200 2586 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)" "www.lifelineprc.com"
62.219.8.227 - - [22/Sep/2013:22:57:07 -0700] "GET /locations.html HTTP/1.1" 200 2241 "http://www.lifelineprc.com/" "Mozilla/6.0 (compatible)" "www.lifelineprc.com"
62.219.8.227 - - [22/Sep/2013:22:57:07 -0700] "GET /options.html HTTP/1.1" 200 3123 "http://www.lifelineprc.com/" "Mozilla/6.0 (compatible)" "www.lifelineprc.com"
62.219.8.227 - - [22/Sep/2013:22:57:07 -0700] "GET /services.html HTTP/1.1" 200 2159 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)" "www.lifelineprc.com"
62.219.8.227 - - [22/Sep/2013:22:57:07 -0700] "GET /index.html HTTP/1.1" 200 2757 "http://www.lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)" "www.lifelineprc.com"
62.219.8.227 - - [22/Sep/2013:22:57:07 -0700] "GET /abortion.html HTTP/1.1" 200 3522 "http://www.lifelineprc.com/" "Mozilla/6.0 (compatible)" "www.lifelineprc.com"
62.219.8.227 - - [22/Sep/2013:22:57:07 -0700] "GET /ewyl.html HTTP/1.1" 200 2416 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.91 Safari/534.30" "www.lifelineprc.com"
