157.55.33.110 - - [16/Oct/2013:17:20:18 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
65.55.52.115 - - [16/Oct/2013:18:31:46 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
67.221.222.72 - - [16/Oct/2013:19:10:00 -0700] "GET / HTTP/1.1" 200 2586 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.lifelineprc.com"
67.221.222.72 - - [16/Oct/2013:19:10:00 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.lifelineprc.com"
67.221.222.72 - - [16/Oct/2013:19:10:01 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://www.lifelineprc.com/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.lifelineprc.com"
92.249.127.111 - - [16/Oct/2013:19:17:21 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://www.anhoum.com/" "Mozilla/5.0 (compatible; news bot /2.1)" "www.lifelineprc.com"
92.249.127.111 - - [16/Oct/2013:19:17:22 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://www.anhoum.com/" "Mozilla/5.0 (compatible; news bot /2.1)" "www.lifelineprc.com"
67.221.222.72 - - [16/Oct/2013:19:18:40 -0700] "GET /assets/images/abortion.jpg HTTP/1.1" 200 53176 "http://www.lifelineprc.com/abortion.html" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.lifelineprc.com"
67.221.222.72 - - [16/Oct/2013:19:19:21 -0700] "GET /postabortion.html HTTP/1.1" 200 4095 "http://www.lifelineprc.com/services.html" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.lifelineprc.com"
78.46.139.35 - - [16/Oct/2013:19:26:41 -0700] "GET /style.css HTTP/1.1" 200 1636 "http://www.lifelineprc.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.lifelineprc.com"
78.46.139.35 - - [16/Oct/2013:19:26:42 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://www.lifelineprc.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.lifelineprc.com"
91.207.4.206 - - [16/Oct/2013:20:00:56 -0700] "GET /aboutus.html HTTP/1.1" 200 11007 "http://reg-vrn.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; KKman2.0)" "www.lifelineprc.com"
